时间戳记,"1. How often do you use facial skincare products (e.g., moisturizer, serum, cleanser)?",2. Which of the following skincare product categories do you regularly use? (Select all that apply),3. Where do you typically get information about skincare products before purchasing? (Select all that apply),"1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Factor]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Brand Reputation]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Price/Value for Money]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Specific Ingredients / Efficacy]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Product Reviews & Recommendations]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Packaging Design (whether Eco-friendly / Sustainable)]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [""Clean"" / Non-Toxic Formula]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Brand's Ethical Values (e.g., cruelty-free, carbon-neutral)]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Prior Experience (with sample products, etc.)]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Origin]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Marketing Frequency]",2. Trusted sources of information on skin-care products,3. Which best describes your current skincare spending per month?,4.  Channels of purchases,5. What behavioral factors do you think are necessary for healthy skin?,6. Do you regularly repurchase or use products from a particular brand?,7. Do you regularly repurchase or use a particular product with a specific function?,1. What is your gender?,2. What is the highest level of education you have completed?,3. In which region do you currently reside?,4.  Satisfaction with skin health,5. How old are you?,6. What is your profession?,7. What is your skin type?,8. Have you ever experienced side effects from skincare products?,9. How much psychological stress do you think you are under?,10. Do you consider your current lifestyle and habits to be healthy?
2025-11-11 下午07:16:03,4-6 times a week,"Cleanser, Moisturizer, Face Oil","Social media (e.g., Instagram, TikTok, YouTube), Recommendations from friends/family",5,5,4,4,5,3,5,4,5,5,2,"Dermatologists, Friends and Acquaintances, Online Reviews, Pharmacists",100 - 200 (RMB/HKD),"Single cosmetic brand shops, Online shopping sites, Large grocery store chains","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product, Take vitamins, Apply moisturizers",Yes,Yes,Female,Master's Degree or higher,Hong Kong / Macao,7,19 - 25,Student,the mixed type,Yes,5,7
2025-11-11 下午08:41:23,Rarely or never,Other,Recommendations from friends/family,2,2,2,3,3,2,2,2,3,3,3,"Dermatologists, Pharmacists",Less than 100 (RMB/HKD),"Specialized cosmetic and skin-care shops, Dermatologists' clinics","Drink enough water, Get complete sleep, Abstain from smoking and drinking",Yes,Yes,Male,Master's Degree or higher,EU Country,10,36 - 45,Self-employed,Oily,No,2,2
2025-11-12 上午09:42:43,2-3 times a week,"Cleanser, Moisturizer, Face Oil, Sunscreen, Toner, Exfoliator (AHA/BHA)","Social media (e.g., Instagram, TikTok, YouTube)","4, 5",5,4,4,4,4,4,4,5,5,5,"Dermatologists, Online Reviews",200 - 500 (RMB/HKD),Specialized cosmetic and skin-care shops,"Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product, Apply moisturizers",Yes,Yes,Female,Master's Degree or higher,Hong Kong / Macao,8,19 - 25,Student,the mixed type,No,7,5
2025-11-17 上午08:10:43,4-6 times a week,"Cleanser, Moisturizer, Sunscreen","Social media (e.g., Instagram, TikTok, YouTube)",3,2,3,1,2,2,1,1,2,1,1,Friends and Acquaintances,100 - 200 (RMB/HKD),"Specialized cosmetic and skin-care shops, Online shopping sites","Drink enough water, Apply moisturizers",No,No,Male,Bachelor's Degree,Hong Kong / Macao,4,19 - 25,Student,Oily,No,6,5
2025-11-17 下午02:27:53,2-3 times a week,"Cleanser, Moisturizer, Serum","Brand websites, Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora), Recommendations from friends/family, Dermatologist or aesthetician recommendations",4,5,4,5,5,2,5,"4, 5",5,2,3,"Dermatologists, Friends and Acquaintances, Pharmacists",Less than 100 (RMB/HKD),"Specialized cosmetic and skin-care shops, Department stores, Single cosmetic brand shops","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Take vitamins, Apply moisturizers",Yes,Yes,Female,Bachelor's Degree,Other Asia country,10,19 - 25,Student,the mixed type,Yes,7,4
2025-11-17 下午03:10:15,Daily,"Cleanser, Moisturizer",In-store consultations,5,5,5,5,5,4,5,5,5,5,4,"Dermatologists, Pharmacists",Less than 100 (RMB/HKD),"Specialized cosmetic and skin-care shops, Department stores, Single cosmetic brand shops","Drink enough water, Get complete sleep, Take vitamins, Apply moisturizers",Yes,Yes,Female,High School or equivalent,Other Asia country,7,19 - 25,Student,the mixed type,Maybe,4,7
2025-11-17 下午04:17:52,2-3 times a week,Cleanser,"Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora)",2,2,2,3,3,1,3,2,2,1,2,Online Reviews,Less than 100 (RMB/HKD),"Department stores, Online shopping sites","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Take vitamins",No,Yes,Female,High School or equivalent,America,4,15 - 18,Student,Oily,Maybe,7,3
2025-11-17 下午04:33:19,Daily,"Cleanser, Moisturizer, Serum, Sunscreen, Toner","Social media (e.g., Instagram, TikTok, YouTube), Recommendations from friends/family",4,3,4,5,5,2,5,3,3,3,3,"Friends and Acquaintances, Online Reviews",200 - 500 (RMB/HKD),"Single cosmetic brand shops, Online shopping sites, Large grocery store chains","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product, Apply moisturizers",No,No,Female,Bachelor's Degree,Hong Kong / Macao,3,19 - 25,Office worker,the mixed type,Maybe,5,5
2025-11-17 下午06:06:44,Daily,"Cleanser, Serum, Face Oil, Toner, Exfoliator (AHA/BHA)","Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora), Recommendations from friends/family, In-store consultations",5,4,5,4,5,2,4,2,5,5,4,"Dermatologists, Friends and Acquaintances, Online Reviews",100 - 200 (RMB/HKD),"Specialized cosmetic and skin-care shops, Department stores, Online shopping sites","Drink enough water, Get complete sleep, Apply sunblock product",Yes,Yes,Female,High School or equivalent,Other Asia country,4,19 - 25,Student,Oily,Maybe,7,4
2025-11-17 下午07:24:46,4-6 times a week,"Cleanser, Moisturizer, Face Oil","Social media (e.g., Instagram, TikTok, YouTube), Recommendations from friends/family",1,4,4,3,5,2,4,2,2,3,2,"Dermatologists, Friends and Acquaintances, Online Reviews",Less than 100 (RMB/HKD),"Department stores, Online shopping sites, Dermatologists' clinics","Get complete sleep, Abstain from smoking and drinking, Take vitamins, Apply moisturizers",Yes,Yes,Male,High School or equivalent,Other,7,19 - 25,Student,the mixed type,Yes,3,6
2025-11-19 上午04:28:18,2-3 times a week,"Face Oil, Sunscreen","Online reviews (e.g., Amazon, Sephora)",2,4,3,4,4,4,4,3,4,4,3,"Dermatologists, Friends and Acquaintances",Less than 100 (RMB/HKD),"Specialized cosmetic and skin-care shops, Department stores","Drink enough water, Abstain from smoking and drinking",No,Yes,Female,Bachelor's Degree,America,7,19 - 25,Student,Sensitive,No,6,5
2025-11-19 下午04:59:16,Rarely or never,Other,"Social media (e.g., Instagram, TikTok, YouTube)",3,3,5,3,5,1,4,3,5,3,1,Friends and Acquaintances,Less than 100 (RMB/HKD),Online shopping sites,"Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product, Take vitamins, Apply moisturizers",No,No,Prefer not to say,High School or equivalent,Hong Kong / Macao,3,19 - 25,Student,Oily,Maybe,5,2
2025-11-24 下午03:26:40,Rarely or never,"Cleanser, Sunscreen","Social media (e.g., Instagram, TikTok, YouTube), Recommendations from friends/family",1,3,5,2,4,1,2,1,3,1,1,"Dermatologists, Friends and Acquaintances, Online Reviews, Pharmacists",Less than 100 (RMB/HKD),"Specialized cosmetic and skin-care shops, Department stores, Online shopping sites","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product",Yes,Yes,Female,Bachelor's Degree,Hong Kong / Macao,3,19 - 25,Student,the mixed type,Maybe,8,1
2026-1-30 下午07:08:28,Daily,"Cleanser, Moisturizer, Serum, Sunscreen, Toner","Brand websites, Social media (e.g., Instagram, TikTok, YouTube), Recommendations from friends/family, In-store consultations, Dermatologist or aesthetician recommendations",4,4,4,5,4,3,5,5,2,1,1,"Dermatologists, Friends and Acquaintances, Sales Representatives",200 - 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Online shopping sites","Drink enough water, Get complete sleep, Abstain from smoking and drinking, Apply sunblock product, Apply moisturizers",Yes,Yes,Female,Other,Mainland of China,9,15 - 18,Student,the mixed type,Maybe,4,5
2026-3-14 下午06:33:13,4-6 times a week,"Cleanser, Face Oil, Sunscreen","Brand websites, Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora)",1,4,5,5,4,2,2,1,2,2,1,Sales Representatives,200 - 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Hospitals and clinics other than dermatologists' clinics","Drink enough water, Get complete sleep",Yes,Yes,Female,High School or equivalent,Hong Kong / Macao,6,19 - 25,Student,Dry,Yes,10,4
2026-3-14 下午06:34:58,4-6 times a week,"Moisturizer, Toner","Online reviews (e.g., Amazon, Sephora), In-store consultations",1,4,5,4,4,"1, 2",3,4,2,3,3,"Dermatologists, Friends and Acquaintances",more than 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Department stores","Drink enough water, Apply sunblock product",No,Yes,Female,High School or equivalent,Hong Kong / Macao,6,15 - 18,Student,Sensitive,Yes,8,9
2026-3-23 下午12:50:19,Daily,"Cleanser, Moisturizer","Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora)",3,4,3,4,5,4,2,3,5,5,3,"Friends and Acquaintances, Sales Representatives",100 - 200 (RMB/HKD),"Specialized cosmetic and skin-care shops, Department stores, Single cosmetic brand shops",Get complete sleep,Yes,No,Female,Bachelor's Degree,Hong Kong / Macao,6,19 - 25,Student,Sensitive,Yes,5,6
2026-3-23 下午01:44:49,Daily,"Cleanser, Toner","Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora)",3,2,5,4,4,5,3,2,3,2,1,"Dermatologists, Online Reviews",Less than 100 (RMB/HKD),Online shopping sites,"Get complete sleep, Apply moisturizers",No,Yes,Female,High School or equivalent,Mainland of China,8,15 - 18,Student,Oily,Yes,5,7
2026-3-23 下午01:44:52,4-6 times a week,"Cleanser, Moisturizer, Sunscreen, Toner","Brand websites, Social media (e.g., Instagram, TikTok, YouTube), Recommendations from friends/family",4,2,2,5,4,4,4,4,4,2,3,"Friends and Acquaintances, Online Reviews",100 - 200 (RMB/HKD),Online shopping sites,"Drink enough water, Get complete sleep, Apply sunblock product",Yes,No,Female,Master's Degree or higher,Mainland of China,6,19 - 25,Student,the mixed type,Yes,5,6
2026-3-23 下午01:44:56,Daily,"Cleanser, Moisturizer, Serum, Sunscreen, Toner","Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora)",5,2,3,5,4,4,4,2,5,3,3,"Dermatologists, Online Reviews",200 - 500 (RMB/HKD),Online shopping sites,"Get complete sleep, Apply moisturizers",Yes,Yes,Female,Master's Degree or higher,Mainland of China,8,26 - 35,Office worker,Oily,Maybe,8,5
2026-3-23 下午01:44:59,4-6 times a week,"Cleanser, Moisturizer, Serum, Sunscreen, Toner, Eye Cream","Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora)",4,5,2,4,4,5,5,3,4,4,2,"Dermatologists, Online Reviews",more than 500 (RMB/HKD),Online shopping sites,"Drink enough water, Get complete sleep",Yes,No,Female,Master's Degree or higher,Mainland of China,8,26 - 35,Office worker,Oily,Yes,5,8
2026-3-23 下午01:45:03,4-6 times a week,"Cleanser, Moisturizer, Serum, Sunscreen, Toner, Eye Cream","Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora)",3,5,3,5,4,4,5,3,5,2,3,"Dermatologists, Online Reviews",more than 500 (RMB/HKD),Specialized cosmetic and skin-care shops,"Get complete sleep, Apply moisturizers",No,No,Female,Bachelor's Degree,Mainland of China,7,36 - 45,Office worker,Sensitive,Yes,7,4
2026-3-23 下午01:45:07,4-6 times a week,"Cleanser, Moisturizer, Serum, Sunscreen, Toner","Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora)",2,4,2,5,4,5,5,2,5,3,2,"Dermatologists, Online Reviews",200 - 500 (RMB/HKD),Online shopping sites,"Drink enough water, Get complete sleep, Apply sunblock product",No,Yes,Female,Bachelor's Degree,Mainland of China,6,26 - 35,Office worker,the mixed type,Yes,7,4
2026-3-23 下午01:45:11,Rarely or never,Cleanser,"Online reviews (e.g., Amazon, Sephora)",2,2,5,4,2,2,3,4,4,2,1,Online Reviews,Less than 100 (RMB/HKD),Online shopping sites,"Drink enough water, Get complete sleep, Apply sunblock product",Yes,Yes,Male,Bachelor's Degree,Mainland of China,5,26 - 35,Office worker,the mixed type,Maybe,4,5
2026-3-23 下午01:45:15,Daily,Cleanser,"Online reviews (e.g., Amazon, Sephora)",3,2,5,4,2,2,3,2,3,2,3,Friends and Acquaintances,Less than 100 (RMB/HKD),Large grocery store chains,"Drink enough water, Get complete sleep, Apply sunblock product",No,No,Male,Bachelor's Degree,Mainland of China,5,26 - 35,Office worker,the mixed type,No,6,4
2026-3-23 下午01:45:20,Daily,Cleanser,"Online reviews (e.g., Amazon, Sephora)",2,2,5,3,3,1,4,2,3,4,3,Online Reviews,Less than 100 (RMB/HKD),Online shopping sites,"Drink enough water, Get complete sleep",Yes,No,Male,Master's Degree or higher,Mainland of China,8,36 - 45,Technology Industry,Dry,No,4,5
2026-3-23 下午01:45:23,Daily,"Cleanser, Moisturizer, Sunscreen","Online reviews (e.g., Amazon, Sephora)",1,3,3,5,4,3,2,2,4,2,1,Online Reviews,100 - 200 (RMB/HKD),Large grocery store chains,"Drink enough water, Get complete sleep",Yes,No,Male,Bachelor's Degree,Mainland of China,5,19 - 25,Self-employed,the mixed type,Yes,4,8
2026-3-23 下午02:26:06,Daily,"Serum, Toner, Eye Cream","Online reviews (e.g., Amazon, Sephora), In-store consultations",1,3,2,5,4,4,3,3,3,4,1,"Dermatologists, Friends and Acquaintances",200 - 500 (RMB/HKD),Online shopping sites,Apply moisturizers,No,Yes,Female,Other,Hong Kong / Macao,7,26 - 35,Office worker,the mixed type,No,3,5
2026-3-23 下午02:26:08,4-6 times a week,"Cleanser, Serum, Toner, Exfoliator (AHA/BHA)","Beauty blogs or magazines, In-store consultations",5,4,2,5,5,5,4,4,5,3,4,Sales Representatives,100 - 200 (RMB/HKD),Large grocery store chains,Apply sunblock product,No,No,Female,Bachelor's Degree,EU Country,5,26 - 35,Office worker,Sensitive,No,8,5
2026-3-23 下午02:26:10,4-6 times a week,"Cleanser, Moisturizer, Face Oil, Eye Cream, Exfoliator (AHA/BHA)","Social media (e.g., Instagram, TikTok, YouTube)",2,4,3,5,4,5,5,4,5,3,4,Sales Representatives,200 - 500 (RMB/HKD),Department stores,"Take vitamins, Apply moisturizers",No,No,Female,Other,Hong Kong / Macao,7,19 - 25,Student,Oily,No,8,7
2026-3-23 下午02:26:13,Rarely or never,Cleanser,"Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora)",4,2,5,3,3,2,3,2,3,4,4,Sales Representatives,Less than 100 (RMB/HKD),Online shopping sites,"Drink enough water, Take vitamins",Yes,No,Male,Bachelor's Degree,Hong Kong / Macao,6,26 - 35,Office worker,the mixed type,Maybe,5,8
2026-3-23 下午02:26:15,Daily,"Cleanser, Moisturizer, Serum, Face Oil, Sunscreen","Brand websites, Social media (e.g., Instagram, TikTok, YouTube)",3,3,3,4,5,4,5,2,5,4,1,Pharmacists,200 - 500 (RMB/HKD),Department stores,"Get complete sleep, Take vitamins, Apply moisturizers",No,No,Female,High School or equivalent,Hong Kong / Macao,5,15 - 18,Student,Sensitive,No,5,4
2026-3-23 下午02:26:18,4-6 times a week,"Cleanser, Moisturizer, Serum, Sunscreen, Toner","Social media (e.g., Instagram, TikTok, YouTube)",5,5,2,5,5,4,5,4,5,3,3,Sales Representatives,more than 500 (RMB/HKD),Online shopping sites,"Drink enough water, Take vitamins",Yes,Yes,Female,Master's Degree or higher,Hong Kong / Macao,5,26 - 35,Office worker,Dry,Yes,3,6
2026-3-23 下午02:26:23,4-6 times a week,"Cleanser, Moisturizer, Toner","Brand websites, Beauty blogs or magazines",1,4,3,5,3,3,5,3,3,4,1,"Sales Representatives, Pharmacists",100 - 200 (RMB/HKD),Online shopping sites,Get complete sleep,Yes,No,Male,Other,Hong Kong / Macao,5,36 - 45,Office worker,the mixed type,Yes,6,2
2026-3-23 下午02:26:25,Rarely or never,Cleanser,"Social media (e.g., Instagram, TikTok, YouTube), Recommendations from friends/family",4,2,5,4,3,1,4,3,4,3,1,"Dermatologists, Pharmacists",Less than 100 (RMB/HKD),Large grocery store chains,Abstain from smoking and drinking,No,No,Male,Bachelor's Degree,Hong Kong / Macao,5,19 - 25,Student,Sensitive,Maybe,3,3
2026-3-23 下午02:26:27,4-6 times a week,"Cleanser, Moisturizer, Serum, Face Oil, Sunscreen","Social media (e.g., Instagram, TikTok, YouTube)",1,3,4,4,5,3,5,2,3,4,2,Dermatologists,200 - 500 (RMB/HKD),Department stores,Apply moisturizers,Yes,No,Female,Other,Hong Kong / Macao,7,26 - 35,Office worker,Oily,Maybe,6,7
2026-3-23 下午02:26:31,4-6 times a week,"Cleanser, Moisturizer, Face Oil, Sunscreen, Eye Cream","Online reviews (e.g., Amazon, Sephora)",3,3,3,5,3,4,4,4,4,4,4,"Sales Representatives, Online Reviews",100 - 200 (RMB/HKD),Large grocery store chains,"Get complete sleep, Apply moisturizers",No,Yes,Female,Master's Degree or higher,Hong Kong / Macao,8,26 - 35,Office worker,the mixed type,No,6,4
2026-3-23 下午02:26:34,4-6 times a week,"Cleanser, Moisturizer, Sunscreen","Brand websites, Social media (e.g., Instagram, TikTok, YouTube)",4,4,4,5,2,4,2,4,4,2,2,Dermatologists,200 - 500 (RMB/HKD),Department stores,"Abstain from smoking and drinking, Take vitamins",No,Yes,Male,Master's Degree or higher,Hong Kong / Macao,8,26 - 35,Office worker,Sensitive,No,3,7
2026-3-23 下午02:26:37,Daily,"Cleanser, Moisturizer, Serum, Sunscreen, Eye Cream","Brand websites, In-store consultations",4,4,2,4,5,4,2,2,4,2,3,Dermatologists,more than 500 (RMB/HKD),Department stores,"Get complete sleep, Apply sunblock product, Apply moisturizers",Yes,Yes,Female,Master's Degree or higher,Hong Kong / Macao,5,19 - 25,Self-employed,Oily,No,4,4
2026-3-23 下午02:26:39,2-3 times a week,Cleanser,"Online reviews (e.g., Amazon, Sephora), In-store consultations",3,2,5,4,3,2,4,4,4,4,3,Friends and Acquaintances,Less than 100 (RMB/HKD),Large grocery store chains,"Abstain from smoking and drinking, Take vitamins, Apply moisturizers",No,Yes,Male,Other,Hong Kong / Macao,5,19 - 25,Student,Sensitive,No,6,5
2026-3-23 下午02:26:41,Daily,"Cleanser, Moisturizer, Serum, Face Oil, Exfoliator (AHA/BHA)","Social media (e.g., Instagram, TikTok, YouTube), In-store consultations, Dermatologist or aesthetician recommendations",1,4,2,5,4,4,4,3,3,4,3,Friends and Acquaintances,200 - 500 (RMB/HKD),Online shopping sites,"Abstain from smoking and drinking, Take vitamins, Apply moisturizers",Yes,No,Female,Master's Degree or higher,Hong Kong / Macao,7,26 - 35,Office worker,Oily,Maybe,7,4
2026-3-23 下午02:26:43,4-6 times a week,"Cleanser, Moisturizer, Sunscreen",Dermatologist or aesthetician recommendations,3,2,4,4,4,4,4,2,4,2,3,"Sales Representatives, Pharmacists",100 - 200 (RMB/HKD),Large grocery store chains,"Drink enough water, Get complete sleep, Abstain from smoking and drinking",No,Yes,Male,Other,Hong Kong / Macao,9,26 - 35,Office worker,Oily,Maybe,5,7
2026-3-23 下午02:26:45,4-6 times a week,"Cleanser, Serum, Exfoliator (AHA/BHA)","Brand websites, Beauty blogs or magazines",2,2,2,5,4,4,5,3,5,4,4,"Online Reviews, Pharmacists",200 - 500 (RMB/HKD),Department stores,Apply moisturizers,No,Yes,Female,Master's Degree or higher,Hong Kong / Macao,5,26 - 35,Office worker,Sensitive,Yes,4,7
2026-3-23 下午02:26:47,2-3 times a week,Cleanser,"Online reviews (e.g., Amazon, Sephora), Recommendations from friends/family, Dermatologist or aesthetician recommendations",3,1,5,3,3,1,5,2,5,2,1,Pharmacists,Less than 100 (RMB/HKD),Online shopping sites,"Get complete sleep, Abstain from smoking and drinking, Apply moisturizers",Yes,Yes,Male,Master's Degree or higher,Hong Kong / Macao,5,26 - 35,Office worker,Dry,Yes,6,4
2026-3-23 下午02:26:50,Daily,"Cleanser, Moisturizer, Serum","Brand websites, Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora)",5,3,2,5,4,5,2,4,3,3,4,Pharmacists,100 - 200 (RMB/HKD),Large grocery store chains,"Drink enough water, Apply moisturizers",Yes,No,Female,Master's Degree or higher,Hong Kong / Macao,6,26 - 35,Office worker,Sensitive,Maybe,5,6
2026-3-23 下午02:26:54,4-6 times a week,"Cleanser, Moisturizer, Sunscreen, Toner, Eye Cream","Recommendations from friends/family, In-store consultations, Dermatologist or aesthetician recommendations",1,4,3,4,4,3,4,3,5,4,4,"Sales Representatives, Online Reviews",200 - 500 (RMB/HKD),Department stores,"Drink enough water, Apply moisturizers",No,No,Female,Master's Degree or higher,Hong Kong / Macao,7,36 - 45,Office worker,Oily,No,6,5
2026-3-23 下午02:26:59,4-6 times a week,"Cleanser, Serum, Sunscreen","Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora), In-store consultations",2,4,2,5,4,5,4,4,3,3,3,"Dermatologists, Sales Representatives",200 - 500 (RMB/HKD),Department stores,"Drink enough water, Take vitamins",Yes,Yes,Female,Other,EU Country,8,26 - 35,Office worker,Sensitive,Yes,4,7
2026-3-23 下午02:27:02,Rarely or never,Cleanser,"Brand websites, Online reviews (e.g., Amazon, Sephora), Dermatologist or aesthetician recommendations",1,2,5,4,2,1,2,4,5,4,3,"Dermatologists, Friends and Acquaintances",Less than 100 (RMB/HKD),Online shopping sites,"Drink enough water, Apply sunblock product, Apply moisturizers",Yes,Yes,Male,Bachelor's Degree,Hong Kong / Macao,4,26 - 35,Office worker,Dry,No,6,8
2026-3-23 下午02:27:05,4-6 times a week,"Cleanser, Moisturizer, Sunscreen","Online reviews (e.g., Amazon, Sephora), In-store consultations",4,3,4,5,2,1,3,2,5,2,1,"Online Reviews, Pharmacists",200 - 500 (RMB/HKD),Department stores,"Get complete sleep, Abstain from smoking and drinking",Yes,No,Male,High School or equivalent,Hong Kong / Macao,6,15 - 18,Student,Sensitive,Yes,6,8
2026-3-23 下午02:27:09,Rarely or never,Cleanser,"Brand websites, Online reviews (e.g., Amazon, Sephora), In-store consultations",3,2,5,3,3,2,3,3,3,2,3,"Friends and Acquaintances, Pharmacists",Less than 100 (RMB/HKD),Large grocery store chains,"Get complete sleep, Abstain from smoking and drinking, Apply moisturizers",Yes,No,Male,Other,Hong Kong / Macao,9,26 - 35,Office worker,the mixed type,No,6,6
2026-3-23 下午02:27:12,Daily,"Serum, Face Oil, Eye Cream, Exfoliator (AHA/BHA)",Beauty blogs or magazines,1,2,3,4,5,4,4,2,4,2,2,"Friends and Acquaintances, Sales Representatives",200 - 500 (RMB/HKD),Online shopping sites,Take vitamins,Yes,Yes,Female,Master's Degree or higher,Hong Kong / Macao,8,36 - 45,Self-employed,Oily,Maybe,3,7
2026-3-23 下午02:27:16,2-3 times a week,Cleanser,"Social media (e.g., Instagram, TikTok, YouTube)",2,2,5,3,3,2,2,2,5,3,4,Online Reviews,Less than 100 (RMB/HKD),Large grocery store chains,"Drink enough water, Abstain from smoking and drinking, Apply moisturizers",No,Yes,Male,Master's Degree or higher,Hong Kong / Macao,6,36 - 45,Housewife,Sensitive,No,5,3
2026-3-23 下午02:27:19,4-6 times a week,Cleanser,"Brand websites, Recommendations from friends/family, Dermatologist or aesthetician recommendations",1,2,5,4,5,5,2,3,5,4,2,Sales Representatives,Less than 100 (RMB/HKD),Online shopping sites,"Drink enough water, Get complete sleep, Apply moisturizers",Yes,No,Female,Master's Degree or higher,Hong Kong / Macao,8,19 - 25,Technology Industry,Dry,No,5,6
2026-3-23 下午02:27:22,Rarely or never,Cleanser,"Online reviews (e.g., Amazon, Sephora), Beauty blogs or magazines",3,1,5,4,3,2,2,3,3,4,4,Sales Representatives,Less than 100 (RMB/HKD),Large grocery store chains,"Get complete sleep, Apply sunblock product, Apply moisturizers",Yes,No,Male,Other,Other,9,45 - 60,Service Worker,Sensitive,Maybe,3,7
2026-3-23 下午02:27:24,Daily,"Cleanser, Moisturizer, Serum, Exfoliator (AHA/BHA)","Beauty blogs or magazines, Dermatologist or aesthetician recommendations",3,4,3,5,4,3,4,2,5,4,1,Online Reviews,more than 500 (RMB/HKD),Department stores,"Get complete sleep, Apply sunblock product, Apply moisturizers",No,No,Female,Bachelor's Degree,Other,7,26 - 35,Office worker,Dry,No,5,8
2026-3-23 下午02:27:26,Daily,"Moisturizer, Face Oil, Eye Cream, Exfoliator (AHA/BHA)",Dermatologist or aesthetician recommendations,4,4,3,5,4,5,5,3,5,2,1,Friends and Acquaintances,more than 500 (RMB/HKD),Department stores,"Drink enough water, Apply sunblock product",Yes,No,Female,Other,Hong Kong / Macao,5,19 - 25,Student,Oily,Yes,7,5
2026-3-23 下午02:27:30,2-3 times a week,Cleanser,"Brand websites, Social media (e.g., Instagram, TikTok, YouTube)",4,1,5,3,3,1,3,2,3,3,4,Sales Representatives,Less than 100 (RMB/HKD),Online shopping sites,Take vitamins,No,Yes,Male,Master's Degree or higher,Other,9,26 - 35,Office worker,Dry,No,6,6
2026-3-23 下午02:27:34,4-6 times a week,"Cleanser, Toner","Brand websites, Beauty blogs or magazines, In-store consultations",1,3,5,4,5,3,3,4,3,3,4,Pharmacists,Less than 100 (RMB/HKD),Large grocery store chains,Take vitamins,Yes,No,Female,Master's Degree or higher,Hong Kong / Macao,6,26 - 35,Office worker,the mixed type,Maybe,7,8
2026-3-23 下午02:27:39,4-6 times a week,"Cleanser, Moisturizer, Serum, Toner","Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora), In-store consultations",4,4,2,5,4,3,5,4,4,4,2,Sales Representatives,more than 500 (RMB/HKD),Department stores,"Apply sunblock product, Take vitamins, Apply moisturizers",No,Yes,Female,Other,Hong Kong / Macao,9,26 - 35,Office worker,Dry,No,4,5
2026-3-23 下午02:27:43,Daily,"Moisturizer, Serum, Face Oil, Exfoliator (AHA/BHA)","Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora)",3,5,3,5,4,3,4,2,5,3,1,"Online Reviews, Pharmacists",more than 500 (RMB/HKD),Online shopping sites,"Abstain from smoking and drinking, Apply sunblock product, Apply moisturizers",Yes,No,Female,Other,Hong Kong / Macao,8,36 - 45,Office worker,Sensitive,No,8,4
